S.No,Credits,Player Role,Player,Team,RoleFlag
1,8.5,ALL,Ravindra Jadeja,CHE,Vice-Captain
2,8.0,BAT,Rajat Patidar,RCB,Player
3,9.0,BAT,Virat Kohli,RCB,Captain
4,7.5,BOWL,Noor Ahmad,CHE,Player
5,7.5,ALL,Krunal Pandya,RCB,Player
6,7.5,WK,Jitesh Sharma,RCB,Player
7,7.0,WK,MS Dhoni,CHE,Player
8,7.0,BAT,Devdutt Padikkal,RCB,Player
9,7.5,BAT,Tim David,RCB,Player
10,5.0,BAT,Shaik Rasheed,CHE,Player
11,8.0,BOWL,Bhuvneshwar Kumar,RCB,Player
12,7.0,BOWL,Yash Dayal,RCB,Backup
13,8.5,BOWL,Matheesha Pathirana,CHE,Backup
14,7.5,BOWL,Khaleel Ahmed,CHE,Backup
15,7.0,ALL,Romario Shepherd,RCB,Backup
